Hora,DPN,FPM
14:50:26,1.71,-6.01
14:50:26,1.36,-6.01
14:50:27,2.24,-6.01
14:50:28,1.18,-6.01
14:50:29,1.54,-6.01
14:50:30,1.36,-6.01
14:50:31,1.36,-6.01
14:50:33,1.36,-6.01
14:50:34,1.36,-6.01
14:50:35,1.36,-6.01
14:50:36,1.36,-6.01
14:50:37,2.6,-6.01
14:50:38,1.36,-6.01
14:50:39,2.07,-6.01
14:50:40,1.54,-6.01
14:50:41,1.36,-6.01
14:50:43,1.89,-6.01
14:50:43,1.36,-6.01
14:50:44,1.36,-6.01
14:50:45,1.36,-6.01
14:50:46,1.71,-6.01
14:50:47,1.36,-6.01
14:50:48,2.07,-6.01
14:50:49,2.6,-6.01
14:50:50,1.54,-6.01
14:50:51,1.71,-6.01
14:50:52,1.71,-6.01
14:50:53,.48,-6.01
14:50:54,1.36,-6.01
14:50:55,2.24,-6.01
14:50:57,1.36,-6.01
14:50:58,1.54,-6.01
14:50:59,1.36,-6.01
14:51:00,2.42,-6.01
14:51:01,1.54,-6.01
14:51:02,1.54,-6.01
14:51:03,2.07,-6.01
14:51:04,1.36,-6.01
14:51:05,1.89,-6.01
14:51:06,1.54,-6.01
14:51:07,2.07,-6.01
14:51:08,1.89,-6.01
14:51:09,1.71,-6.01
14:51:10,1.89,-6.01
14:51:11,1.36,-6.01
14:51:12,2.07,-6.01
14:51:13,1.36,-6.01
14:51:14,2.24,-6.01
14:51:15,1.36,-6.01
14:51:16,1.54,-6.01
14:51:17,1.36,-6.01
14:51:18,1.36,-6.01
14:51:20,1.54,-6.01
14:51:21,1.18,-6.01
14:51:22,1.54,-6.18
14:51:23,1.71,-6.01
14:51:24,2.42,-6.01
14:51:25,2.07,-6.01
14:51:26,1.54,-6.01
14:51:27,2.42,-6.01
14:51:28,1.36,-6.01
14:51:29,1.71,-6.01
14:51:30,1.36,-6.01
14:51:31,1.36,-6.01
14:51:32,1.18,-6.01
14:51:33,2.07,-6.01
14:51:34,1.71,-6.01
14:51:35,1.71,-6.01
14:51:36,2.24,-6.01
14:51:37,2.07,-6.18
14:51:38,1.36,-6.01
14:51:39,1.36,-6.01
14:51:40,1.54,-6.01
14:51:41,1.36,-6.01
14:51:42,2.42,-6.01
14:51:44,1.36,-6.01
14:51:45,1.36,-6.01
14:51:46,1.89,-6.01
14:51:47,1.36,-6.01
14:51:48,2.07,-6.01
14:51:49,1.36,-6.01
14:51:50,2.07,-6.01
14:51:51,1.89,-6.01
14:51:52,1.18,-6.01
14:51:53,2.24,-6.01
14:51:54,1.18,-6.01
14:51:55,1.54,-6.01
14:51:56,1.89,-6.01
