Hora,DPN,FPM
16:49:57,4.01,-6.01
16:49:58,4.01,-6.01
16:49:59,2.95,-6.01
16:50:00,4.19,-6.01
16:50:01,3.48,-6.18
16:50:02,3.66,-6.01
16:50:03,2.95,-6.01
16:50:05,3.48,-6.01
16:50:06,3.84,-6.18
16:50:07,3.66,-6.01
16:50:08,4.19,-6.01
16:50:09,4.19,-6.01
16:50:10,3.31,-6.01
16:50:11,3.13,-6.01
16:50:12,4.01,-6.01
16:50:13,4.19,-6.01
16:50:14,4.01,-6.01
16:50:15,4.01,-6.01
16:50:16,2.78,-6.01
16:50:17,4.19,-6.01
16:50:18,4.19,-6.01
16:50:19,4.01,-6.01
16:50:20,3.48,-6.01
16:50:21,4.01,-6.01
16:50:22,3.48,-6.01
16:50:23,3.84,-6.01
16:50:24,3.84,-6.01
16:50:25,3.66,-6.01
16:50:26,2.95,-6.01
16:50:27,4.72,-6.01
16:50:29,4.19,-6.01
16:50:30,4.01,-6.01
16:50:31,3.13,-6.01
16:50:32,3.31,-6.01
16:50:33,4.19,-6.01
16:50:34,3.84,-6.01
16:50:35,4.01,-6.01
16:50:36,4.01,-6.01
16:50:37,3.84,-6.01
16:50:38,3.48,-6.01
16:50:39,3.48,-6.01
16:50:40,3.31,-6.01
16:50:41,4.19,-6.01
16:50:42,4.19,-6.01
16:50:43,4.01,-6.18
16:50:44,4.19,-6.18
16:50:45,4.01,-6.18
16:50:46,3.66,-6.01
16:50:47,4.01,-6.01
16:50:48,3.66,-6.01
16:50:49,4.01,-6.01
16:50:50,3.66,-6.01
16:50:52,4.19,-6.01
16:50:53,3.84,-6.01
16:50:54,2.78,-6.01
16:50:55,4.01,-6.01
16:50:56,4.01,-6.01
16:50:57,3.48,-6.01
16:50:58,3.66,-6.01
16:50:59,4.01,-6.01
16:51:00,4.01,-6.18
16:51:01,3.66,-6.01
16:51:02,3.84,-6.01
16:51:03,3.84,-6.18
16:51:04,4.19,-6.01
16:51:05,4.01,-6.01
16:51:06,3.66,-6.01
16:51:07,4.01,-6.01
16:51:08,3.84,-6.01
16:51:09,3.84,-6.01
16:51:10,4.01,-6.01
16:51:11,3.48,-6.01
16:51:12,2.95,-6.01
16:51:14,3.66,-6.01
16:51:15,4.01,-6.01
16:51:16,4.01,-6.01
16:51:17,3.84,-6.01
16:51:18,4.01,-6.01
16:51:19,3.84,-6.01
16:51:20,3.13,-6.18
16:51:21,3.84,-6.01
16:51:22,2.78,-6.01
16:51:23,3.84,-6.01
16:51:24,3.66,-6.01
16:51:25,4.01,-6.01
16:51:26,4.01,-6.01
16:51:27,4.01,-6.01
16:51:28,4.01,-6.01
16:51:29,4.01,-6.01
16:51:30,2.95,-6.01
16:51:31,3.84,-6.01
16:51:32,3.84,-6.01
16:51:33,4.01,-6.18
16:51:34,3.31,-6.01
16:51:35,3.31,-6.01
16:51:37,4.01,-6.01
16:51:38,4.01,-6.01
16:51:39,3.66,-6.18
16:51:40,3.84,-6.01
16:51:41,3.84,-6.01
16:51:42,3.84,-6.01
16:51:43,3.84,-6.01
16:51:44,3.84,-6.01
16:51:45,4.01,-6.01
16:51:46,3.66,-6.01
16:51:47,3.31,-6.01
16:51:48,4.01,-6.01
16:51:49,3.48,-6.01
16:51:50,3.48,-6.01
16:51:51,3.66,-6.01
16:51:52,3.84,-6.01
16:51:53,3.31,-6.01
16:51:54,3.84,-6.01
16:51:55,3.84,-6.01
16:51:56,3.84,-6.01
16:51:57,3.84,-6.01
16:51:58,2.6,-6.01
16:51:59,3.84,-6.01
16:52:01,3.31,-6.01
16:52:02,3.66,-6.01
16:52:03,2.78,-6.01
16:52:04,3.31,-6.01
16:52:05,3.84,-6.01
16:52:06,3.66,-6.01
16:52:07,3.13,-6.01
16:52:08,3.48,-6.01
16:52:09,3.66,-6.01
16:52:10,3.66,-6.01
16:52:11,2.78,-6.01
16:52:12,2.6,-6.01
16:52:13,3.48,-6.01
16:52:14,2.78,-6.01
16:52:15,3.13,-6.01
16:52:16,3.13,-6.01
16:52:17,3.84,-6.01
16:52:18,3.84,-6.01
16:52:19,3.84,-6.01
16:52:20,3.66,-6.01
16:52:21,3.13,-6.01
16:52:22,3.31,-6.01
16:52:24,3.48,-6.01
16:52:25,2.95,-6.01
16:52:26,2.42,-6.01
16:52:27,3.84,-6.01
16:52:28,3.66,-6.01
16:52:29,3.66,-6.01
16:52:30,3.66,-6.01
16:52:31,4.01,-6.18
16:52:32,3.84,-6.01
16:52:33,2.95,-6.01
16:52:34,3.13,-6.01
16:52:35,3.48,-6.01
16:52:36,3.84,-6.01
16:52:37,3.84,-6.01
16:52:38,2.95,-6.01
16:52:39,3.13,-6.01
16:52:40,3.84,-6.01
16:52:41,3.84,-6.01
16:52:42,3.66,-6.01
16:52:43,3.66,-6.01
16:52:44,3.84,-6.01
16:52:45,3.66,-6.01
16:52:46,3.84,-6.01
16:52:48,3.84,-6.01
16:52:49,3.48,-6.01
16:52:50,3.66,-6.01
16:52:51,3.66,-6.01
16:52:52,2.24,-6.01
16:52:53,3.66,-6.01
16:52:54,3.31,-6.01
16:52:55,3.31,-6.01
16:52:56,3.84,-6.01
16:52:57,3.31,-6.01
16:52:58,2.95,-6.01
16:52:59,2.6,-6.18
16:53:00,2.6,-6.01
16:53:01,3.84,-6.01
16:53:02,3.48,-6.01
16:53:03,3.48,-6.01
16:53:04,3.31,-6.01
16:53:05,3.48,-6.01
16:53:06,3.84,-6.01
16:53:07,2.42,-6.01
16:53:08,3.31,-6.01
16:53:09,3.84,-6.01
16:53:11,2.6,-6.18
16:53:12,2.42,-6.01
16:53:13,3.66,-6.01
16:53:14,3.66,-6.01
16:53:15,2.95,-6.01
16:53:16,3.84,-6.01
16:53:17,2.42,-6.01
16:53:18,2.6,-6.01
16:53:19,3.66,-6.01
16:53:20,3.13,-6.01
16:53:21,3.48,-6.18
16:53:22,2.78,-6.01
16:53:23,2.6,-6.01
16:53:24,3.31,-6.18
16:53:25,3.48,-6.01
16:53:26,3.66,-6.01
16:53:27,3.31,-6.18
